timestamp,app_name,window_title,duration_seconds,end_time,mouse_clicks,key_presses
2026-02-15 10:23:00,VS Code,page.tsx - frontend,1948,2026-02-15 10:55:28,193,469
2026-02-15 11:08:00,Notion,Project Roadmap,2293,2026-02-15 11:46:13,80,452
2026-02-15 11:47:45,VS Code,api.ts - frontend/lib,1911,2026-02-15 12:19:36,134,2515
2026-02-15 12:21:03,Slack,#deployment - Team Workspace,1496,2026-02-15 12:45:59,29,122
2026-02-15 12:54:38,Notion,Meeting Notes - Weekly Sync,86,2026-02-15 12:56:04,59,368
2026-02-15 13:52:07,Google Chrome,MDN Web Docs - CSS Grid,409,2026-02-15 13:58:56,59,188
2026-02-15 14:05:48,Notion,Deployment Checklist,1941,2026-02-15 14:38:09,20,407
2026-02-15 14:40:29,Slack,#standup - Team Workspace,1728,2026-02-15 15:09:17,39,108
2026-02-15 15:22:18,VS Code,styles.css - frontend,1986,2026-02-15 15:55:24,25,1003
2026-02-15 15:58:07,Google Chrome,localhost:3000 - Activity Monitor,1887,2026-02-15 16:29:34,196,88
2026-02-16 08:22:00,Terminal,PowerShell - npm run dev,175,2026-02-16 08:24:55,20,167
2026-02-16 08:28:50,Google Chrome,Render Dashboard,1032,2026-02-16 08:46:02,246,199
2026-02-16 08:51:38,Spotify,Deep Focus - Spotify,1910,2026-02-16 09:23:28,3,0
2026-02-16 09:28:22,YouTube,Web Dev Simplified - React hooks,766,2026-02-16 09:41:08,5,1
2026-02-16 09:45:44,Terminal,PowerShell - docker compose up,590,2026-02-16 09:55:34,11,59
2026-02-16 10:07:45,Google Chrome,Tailwind CSS - Utility-First CSS Framework,2663,2026-02-16 10:52:08,83,140
2026-02-16 10:55:30,VS Code,insights.py - backend/api/routes,4718,2026-02-16 12:14:08,72,2444
2026-02-16 12:22:26,YouTube,TechWorld with Nana - Docker Tutorial,1755,2026-02-16 12:51:41,4,2
2026-02-16 13:01:22,Notion,Meeting Notes - Weekly Sync,509,2026-02-16 13:09:51,25,716
2026-02-16 13:18:03,Google Chrome,Tailwind CSS - Utility-First CSS Framework,2470,2026-02-16 13:59:13,280,133
2026-02-16 14:09:39,VS Code,Untitled-1 - VS Code,1058,2026-02-16 14:27:17,142,1142
2026-02-16 14:41:24,Slack,Direct Message - Project Lead,258,2026-02-16 14:45:42,30,90
2026-02-16 14:54:26,VS Code,insights.py - backend/api/routes,2277,2026-02-16 15:32:23,200,781
2026-02-16 15:42:02,Terminal,PowerShell - docker compose up,315,2026-02-16 15:47:17,17,160
2026-02-16 15:51:40,VS Code,insights.py - backend/api/routes,1443,2026-02-16 16:15:43,140,52
2026-02-16 16:26:56,Google Chrome,GitHub - luckyshukla8866-sv/activity-monitor,109,2026-02-16 16:28:45,195,454
2026-02-16 16:43:31,Google Chrome,Vercel – activity-monitor,267,2026-02-16 16:47:58,300,489
2026-02-16 16:50:18,VS Code,database.py - activity-monitor,4101,2026-02-16 17:58:39,199,2231
2026-02-16 18:12:43,VS Code,models.py - backend/api,1471,2026-02-16 18:37:14,145,726
2026-02-16 18:42:45,Google Chrome,MDN Web Docs - CSS Grid,2514,2026-02-16 19:24:39,118,480
2026-02-17 10:22:00,Google Chrome,localhost:3000 - Activity Monitor,2781,2026-02-17 11:08:21,201,229
2026-02-17 11:18:10,Google Chrome,Vercel – activity-monitor,1045,2026-02-17 11:35:35,42,178
2026-02-17 11:36:56,Slack,Direct Message - Sarah K.,501,2026-02-17 11:45:17,3,46
2026-02-17 11:58:21,Slack,#dev-backend - Team Workspace,498,2026-02-17 12:06:39,5,179
2026-02-17 12:08:51,Google Chrome,localhost:3000 - Activity Monitor,1170,2026-02-17 12:28:21,258,114
2026-02-17 13:17:50,Slack,Huddle - Team Sync,527,2026-02-17 13:26:37,29,107
2026-02-17 14:11:19,Google Chrome,Tailwind CSS - Utility-First CSS Framework,1713,2026-02-17 14:39:52,37,349
2026-02-17 14:52:01,Spotify,Chill Coding Playlist,1406,2026-02-17 15:15:27,4,2
2026-02-17 15:22:14,Notion,API Documentation,507,2026-02-17 15:30:41,29,214
2026-02-17 15:40:50,Google Chrome,Render Dashboard,1758,2026-02-17 16:10:08,152,241
2026-02-17 16:15:23,YouTube,Coding Train - Creative coding,274,2026-02-17 16:19:57,13,8
2026-02-17 16:22:37,VS Code,main.py - activity-monitor,4548,2026-02-17 17:38:25,28,1018
2026-02-17 17:42:15,Google Chrome,Vercel – activity-monitor,2001,2026-02-17 18:15:36,215,467
2026-02-18 09:12:00,VS Code,styles.css - frontend,3847,2026-02-18 10:16:07,113,2903
2026-02-18 10:29:35,Spotify,Discover Weekly,5152,2026-02-18 11:55:27,2,0
2026-02-18 12:01:30,VS Code,package.json - frontend,599,2026-02-18 12:11:29,193,2270
2026-02-18 12:13:31,VS Code,models.py - backend/api,4905,2026-02-18 13:35:16,133,2225
2026-02-18 14:22:36,VS Code,database.py - activity-monitor,1642,2026-02-18 14:49:58,157,328
2026-02-18 15:02:29,YouTube,Theo - Next.js 14 deep dive,946,2026-02-18 15:18:15,15,9
2026-02-18 15:23:27,Slack,#dev-backend - Team Workspace,111,2026-02-18 15:25:18,29,346
2026-02-18 15:36:15,Slack,Direct Message - Project Lead,677,2026-02-18 15:47:32,16,352
2026-02-18 16:00:45,Google Chrome,MDN Web Docs - CSS Grid,1117,2026-02-18 16:19:22,77,348
2026-02-18 16:31:22,VS Code,database.py - activity-monitor,2710,2026-02-18 17:16:32,7,1927
2026-02-19 08:17:00,VS Code,page.tsx - frontend,663,2026-02-19 08:28:03,94,331
2026-02-19 08:33:13,Google Chrome,Tailwind CSS - Utility-First CSS Framework,676,2026-02-19 08:44:29,288,365
2026-02-19 08:50:38,Slack,#general - Team Workspace,571,2026-02-19 09:00:09,45,293
2026-02-19 09:06:15,Terminal,PowerShell - python main.py,116,2026-02-19 09:08:11,9,34
2026-02-19 09:11:00,Notion,Bug Tracker,696,2026-02-19 09:22:36,41,639
2026-02-19 09:27:11,Notion,Bug Tracker,893,2026-02-19 09:42:04,69,520
2026-02-19 09:47:21,Terminal,PowerShell - npm run dev,62,2026-02-19 09:48:23,14,75
2026-02-19 09:50:08,VS Code,Untitled-1 - VS Code,1191,2026-02-19 10:09:59,72,711
2026-02-19 10:23:38,Google Chrome,MDN Web Docs - CSS Grid,2920,2026-02-19 11:12:18,297,9
2026-02-19 11:15:12,VS Code,insights.py - backend/api/routes,1341,2026-02-19 11:37:33,14,1562
2026-02-19 11:48:29,Slack,#random - Team Workspace,910,2026-02-19 12:03:39,5,167
2026-02-19 12:10:52,YouTube,Fireship - 100 seconds of PostgreSQL,3380,2026-02-19 13:07:12,15,5
2026-02-19 13:11:47,Slack,#deployment - Team Workspace,754,2026-02-19 13:24:21,29,327
2026-02-19 14:02:25,YouTube,Web Dev Simplified - React hooks,482,2026-02-19 14:10:27,1,2
2026-02-19 14:24:01,Terminal,PowerShell - docker compose up,431,2026-02-19 14:31:12,8,73
2026-02-19 14:34:55,Notion,Learning Resources,502,2026-02-19 14:43:17,9,501
2026-02-19 14:48:04,VS Code,README.md - activity-monitor,3890,2026-02-19 15:52:54,83,982
2026-02-19 15:57:42,VS Code,config.py - backend,1702,2026-02-19 16:26:04,89,1191
2026-02-19 16:28:15,Figma,Mobile Responsive Layouts,1443,2026-02-19 16:52:18,348,70
2026-02-20 09:03:00,YouTube,Traversy Media - FastAPI crash course,654,2026-02-20 09:13:54,10,4
2026-02-20 09:15:33,VS Code,README.md - activity-monitor,3679,2026-02-20 10:16:52,191,1334
2026-02-20 10:25:18,Slack,#dev-backend - Team Workspace,1077,2026-02-20 10:43:15,27,305
2026-02-20 10:47:29,VS Code,main.py - activity-monitor,3692,2026-02-20 11:49:01,138,2255
2026-02-20 12:01:44,Notion,Personal Journal,867,2026-02-20 12:16:11,60,91
2026-02-20 12:28:31,Slack,#dev-backend - Team Workspace,1388,2026-02-20 12:51:39,49,163
2026-02-20 13:01:18,Google Chrome,Gmail - Inbox (3),1678,2026-02-20 13:29:16,161,288
2026-02-20 14:21:57,Terminal,PowerShell - pip install -r requirements.txt,188,2026-02-20 14:25:05,19,82
2026-02-20 14:33:00,Google Chrome,ChatGPT,31,2026-02-20 14:33:31,156,112
2026-02-20 14:41:51,Notion,Architecture Decisions,1379,2026-02-20 15:04:50,61,472
2026-02-20 15:17:21,VS Code,settings.json - User Settings,3996,2026-02-20 16:23:57,48,2748
2026-02-20 16:26:23,VS Code,package.json - frontend,5305,2026-02-20 17:54:48,90,432
2026-02-21 12:25:00,VS Code,main.py - activity-monitor,320,2026-02-21 12:30:20,67,1996
2026-02-21 12:41:45,VS Code,Untitled-1 - VS Code,3515,2026-02-21 13:40:20,152,846
2026-02-21 13:53:35,Google Chrome,Render Dashboard,1029,2026-02-21 14:10:44,12,462
2026-02-21 14:24:32,YouTube,3Blue1Brown - Neural networks,990,2026-02-21 14:41:02,3,8
2026-02-21 14:49:57,VS Code,database.py - activity-monitor,2161,2026-02-21 15:25:58,121,596
2026-02-21 15:40:38,Google Chrome,Next.js Documentation,2205,2026-02-21 16:17:23,172,491
2026-02-21 16:31:16,YouTube,Web Dev Simplified - React hooks,1153,2026-02-21 16:50:29,14,8
2026-02-21 16:59:05,YouTube,Coding Train - Creative coding,1092,2026-02-21 17:17:17,5,3
2026-02-22 13:08:00,Google Chrome,ChatGPT,2952,2026-02-22 13:57:12,130,144
2026-02-22 14:03:55,Google Chrome,Render Dashboard,596,2026-02-22 14:13:51,128,201
2026-02-22 14:26:41,VS Code,database.py - activity-monitor,1872,2026-02-22 14:57:53,111,1719
2026-02-22 15:04:31,Google Chrome,Stack Overflow - How to fix CORS error,1733,2026-02-22 15:33:24,115,431
2026-02-22 15:41:34,Google Chrome,FastAPI - Swagger UI,3183,2026-02-22 16:34:37,20,443
2026-02-22 16:48:40,Slack,#general - Team Workspace,1006,2026-02-22 17:05:26,25,162
2026-02-23 09:23:00,Notion,Architecture Decisions,963,2026-02-23 09:39:03,33,299
2026-02-23 09:47:29,Google Chrome,Google Search - python sqlalchemy postgresql,1622,2026-02-23 10:14:31,217,375
2026-02-23 10:18:20,YouTube,Fireship - 100 seconds of PostgreSQL,381,2026-02-23 10:24:41,15,6
2026-02-23 10:35:47,Slack,#dev-backend - Team Workspace,85,2026-02-23 10:37:12,44,229
2026-02-23 10:40:30,YouTube,Fireship - 100 seconds of PostgreSQL,492,2026-02-23 10:48:42,5,6
2026-02-23 10:55:17,VS Code,README.md - activity-monitor,2797,2026-02-23 11:41:54,199,1602
2026-02-23 11:47:38,Notion,Bug Tracker,1786,2026-02-23 12:17:24,15,501
2026-02-23 12:18:43,Notion,Personal Journal,273,2026-02-23 12:23:16,33,685
2026-02-23 12:25:26,Slack,#general - Team Workspace,1574,2026-02-23 12:51:40,18,112
2026-02-23 12:53:00,VS Code,Untitled-1 - VS Code,3999,2026-02-23 13:59:39,34,2360
2026-02-23 14:04:22,VS Code,page.tsx - frontend,3141,2026-02-23 14:56:43,160,2537
2026-02-23 15:10:28,Notion,Bug Tracker,730,2026-02-23 15:22:38,18,612
2026-02-23 15:24:04,Terminal,PowerShell - docker compose up,599,2026-02-23 15:34:03,13,106
2026-02-23 15:47:15,VS Code,settings.json - User Settings,4970,2026-02-23 17:10:05,165,1044
2026-02-23 17:12:49,Slack,#dev-backend - Team Workspace,647,2026-02-23 17:23:36,39,31
2026-02-23 17:30:31,Google Chrome,Google Search - python sqlalchemy postgresql,2739,2026-02-23 18:16:10,45,264
2026-02-23 18:28:13,Google Chrome,MDN Web Docs - CSS Grid,3509,2026-02-23 19:26:42,260,59
2026-02-23 19:35:05,Figma,Icon Set - Custom,950,2026-02-23 19:50:55,382,24
2026-02-23 19:59:20,VS Code,Untitled-1 - VS Code,1188,2026-02-23 20:19:08,74,2572
2026-02-23 20:33:55,Terminal,PowerShell - alembic upgrade head,133,2026-02-23 20:36:08,14,192
2026-02-23 20:47:14,VS Code,database.py - activity-monitor,622,2026-02-23 20:57:36,76,1896
2026-02-24 09:19:00,Slack,#general - Team Workspace,718,2026-02-24 09:30:58,34,176
2026-02-24 09:35:04,Google Chrome,Google Calendar - Week View,1483,2026-02-24 09:59:47,142,179
2026-02-24 10:05:33,YouTube,Fireship - 100 seconds of PostgreSQL,685,2026-02-24 10:16:58,9,3
2026-02-24 10:19:25,VS Code,models.py - backend/api,3449,2026-02-24 11:16:54,147,1034
2026-02-24 11:29:41,Google Chrome,Tailwind CSS - Utility-First CSS Framework,2945,2026-02-24 12:18:46,239,410
2026-02-24 12:20:03,VS Code,config.py - backend,1935,2026-02-24 12:52:18,182,1046
2026-02-24 12:58:31,Google Chrome,Next.js Documentation,2297,2026-02-24 13:36:48,186,222
2026-02-24 13:50:31,Google Chrome,ChatGPT,1888,2026-02-24 14:21:59,166,133
2026-02-24 14:58:33,Google Chrome,Next.js Documentation,3072,2026-02-24 15:49:45,104,103
2026-02-24 15:54:26,Notion,Deployment Checklist,1192,2026-02-24 16:14:18,41,122
2026-02-24 16:18:36,VS Code,page.tsx - frontend,3076,2026-02-24 17:09:52,82,107
2026-02-24 17:22:57,Google Chrome,Stack Overflow - How to fix CORS error,1153,2026-02-24 17:42:10,37,288
2026-02-24 17:48:09,Slack,Huddle - Team Sync,288,2026-02-24 17:52:57,9,16
2026-02-24 18:03:44,VS Code,models.py - backend/api,1100,2026-02-24 18:22:04,92,805
2026-02-24 18:23:56,VS Code,database.py - activity-monitor,1098,2026-02-24 18:42:14,21,1691
2026-02-24 18:51:37,VS Code,Untitled-1 - VS Code,1409,2026-02-24 19:15:06,18,671
2026-02-24 19:18:38,Notion,Project Roadmap,371,2026-02-24 19:24:49,36,141
2026-02-24 19:35:20,Notion,API Documentation,680,2026-02-24 19:46:40,71,409
2026-02-24 19:55:21,Terminal,PowerShell - pip install -r requirements.txt,86,2026-02-24 19:56:47,14,83
2026-02-24 20:07:29,Slack,Direct Message - Sarah K.,131,2026-02-24 20:09:40,43,118
2026-02-24 20:15:10,Slack,Direct Message - Sarah K.,190,2026-02-24 20:18:20,14,292
2026-02-24 20:20:36,VS Code,models.py - backend/api,956,2026-02-24 20:36:32,181,2482
2026-02-24 20:45:33,VS Code,styles.css - frontend,594,2026-02-24 20:55:27,185,1208
2026-02-25 08:29:00,VS Code,Untitled-1 - VS Code,1740,2026-02-25 08:58:00,155,2758
2026-02-25 09:12:43,Terminal,PowerShell - npm run dev,445,2026-02-25 09:20:08,18,62
2026-02-25 09:32:11,VS Code,page.tsx - frontend,2296,2026-02-25 10:10:27,23,294
2026-02-25 10:14:16,Notion,Bug Tracker,2391,2026-02-25 10:54:07,61,147
2026-02-25 11:03:06,Slack,#code-review - Team Workspace,1463,2026-02-25 11:27:29,20,266
2026-02-25 11:37:41,Google Chrome,FastAPI - Swagger UI,359,2026-02-25 11:43:40,30,460
2026-02-25 11:52:02,Notion,Sprint Planning - Q1 2026,1085,2026-02-25 12:10:07,16,254
2026-02-25 12:22:37,YouTube,Fireship - 100 seconds of PostgreSQL,2476,2026-02-25 13:03:53,13,10
2026-02-25 13:09:28,Notion,Architecture Decisions,777,2026-02-25 13:22:25,71,687
2026-02-25 13:30:57,VS Code,config.py - backend,4915,2026-02-25 14:52:52,167,2064
2026-02-25 14:55:25,Google Chrome,localhost:3000 - Activity Monitor,1345,2026-02-25 15:17:50,63,444
2026-02-25 15:21:34,Google Chrome,Tailwind CSS - Utility-First CSS Framework,2871,2026-02-25 16:09:25,157,344
2026-02-25 16:17:15,Notion,Sprint Planning - Q1 2026,2313,2026-02-25 16:55:48,63,110
2026-02-25 17:02:10,VS Code,config.py - backend,1069,2026-02-25 17:19:59,136,54
2026-02-25 17:32:12,YouTube,Web Dev Simplified - React hooks,1066,2026-02-25 17:49:58,1,3
2026-02-25 17:59:48,Google Chrome,Tailwind CSS - Utility-First CSS Framework,3128,2026-02-25 18:51:56,236,394
2026-02-26 09:04:00,Terminal,PowerShell - docker compose up,458,2026-02-26 09:11:38,16,36
2026-02-26 09:13:07,Figma,Component Library v2,923,2026-02-26 09:28:30,383,25
2026-02-26 09:34:48,Slack,#code-review - Team Workspace,1161,2026-02-26 09:54:09,8,125
2026-02-26 09:57:05,Google Chrome,localhost:3000 - Activity Monitor,511,2026-02-26 10:05:36,88,260
2026-02-26 10:18:49,VS Code,config.py - backend,2359,2026-02-26 10:58:08,128,1984
2026-02-26 11:03:17,Google Chrome,MDN Web Docs - CSS Grid,622,2026-02-26 11:13:39,107,476
2026-02-26 11:24:52,Google Chrome,Hacker News,589,2026-02-26 11:34:41,45,146
2026-02-26 11:48:52,Notion,Personal Journal,1759,2026-02-26 12:18:11,69,293
2026-02-26 12:33:11,VS Code,package.json - frontend,2565,2026-02-26 13:15:56,153,2753
2026-02-26 13:25:17,Google Chrome,Google Search - python sqlalchemy postgresql,2013,2026-02-26 13:58:50,180,287
2026-02-26 14:12:51,Google Chrome,Hacker News,1348,2026-02-26 14:35:19,106,362
2026-02-26 14:40:23,Slack,#code-review - Team Workspace,508,2026-02-26 14:48:51,5,172
2026-02-26 15:02:33,Google Chrome,MDN Web Docs - CSS Grid,3353,2026-02-26 15:58:26,207,344
2026-02-26 16:12:57,YouTube,Coding Train - Creative coding,431,2026-02-26 16:20:08,1,2
2026-02-26 16:29:42,Figma,Activity Monitor - Dashboard Redesign,1659,2026-02-26 16:57:21,245,17
2026-02-26 17:07:19,Terminal,PowerShell - docker compose up,25,2026-02-26 17:07:44,5,109
2026-02-26 17:19:54,Figma,Icon Set - Custom,376,2026-02-26 17:26:10,155,48
2026-02-26 17:37:48,Slack,#dev-backend - Team Workspace,1360,2026-02-26 18:00:28,24,355
2026-02-26 18:10:34,Google Chrome,localhost:3000 - Activity Monitor,1327,2026-02-26 18:32:41,259,451
2026-02-26 18:42:55,VS Code,api.ts - frontend/lib,260,2026-02-26 18:47:15,166,2853
2026-02-26 18:53:09,Spotify,Chill Coding Playlist,6717,2026-02-26 20:45:06,4,0
2026-02-26 20:59:04,Slack,Huddle - Team Sync,132,2026-02-26 21:01:16,13,365
2026-02-27 08:25:00,VS Code,README.md - activity-monitor,854,2026-02-27 08:39:14,115,646
2026-02-27 08:44:24,Google Chrome,localhost:3000 - Activity Monitor,2348,2026-02-27 09:23:32,102,92
2026-02-27 09:27:31,VS Code,package.json - frontend,3253,2026-02-27 10:21:44,179,1036
2026-02-27 10:31:13,Terminal,PowerShell - python main.py,156,2026-02-27 10:33:49,15,168
2026-02-27 10:39:09,Google Chrome,Stack Overflow - How to fix CORS error,2761,2026-02-27 11:25:10,248,466
2026-02-27 11:31:04,Slack,#dev-backend - Team Workspace,353,2026-02-27 11:36:57,31,186
2026-02-27 11:47:58,VS Code,settings.json - User Settings,3595,2026-02-27 12:47:53,69,1921
2026-02-27 12:54:02,VS Code,models.py - backend/api,3271,2026-02-27 13:48:33,32,1021
2026-02-27 13:56:03,Slack,Direct Message - Project Lead,1462,2026-02-27 14:20:25,4,347
2026-02-27 15:09:44,YouTube,Coding Train - Creative coding,220,2026-02-27 15:13:24,14,4
2026-02-27 15:27:38,Notion,API Documentation,1503,2026-02-27 15:52:41,29,655
2026-02-27 15:57:57,Slack,#random - Team Workspace,1506,2026-02-27 16:23:03,43,59
2026-02-27 16:34:45,Slack,Huddle - Team Sync,662,2026-02-27 16:45:47,5,306
2026-02-27 16:53:00,Notion,Bug Tracker,429,2026-02-27 17:00:09,46,785
2026-02-27 17:08:14,VS Code,insights.py - backend/api/routes,1202,2026-02-27 17:28:16,98,2224
2026-02-27 17:37:49,Terminal,PowerShell - git push origin main,178,2026-02-27 17:40:47,16,80
2026-02-27 17:54:31,YouTube,Coding Train - Creative coding,355,2026-02-27 18:00:26,2,2
2026-02-27 18:14:18,Figma,Icon Set - Custom,1180,2026-02-27 18:33:58,305,51
2026-02-27 18:36:30,Notion,Bug Tracker,74,2026-02-27 18:37:44,73,146
